ID,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,recent_past_buyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,num_vehicles,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,CBCFIX1,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brandrank2,brandrank3,maintenance,income,female,householdsize,YOB,zipcode,education,num_children,marriage,enthusiast,SUVbuyer,shanghai,shenzhen,chengdu,usa,mturk,country_make,country_brand1,country_brand2,country_brand3,income_HIGH,income_NA,age,age_HIGH,age_NA,female_NA,have_child,have_child_NA,householdsize_HIGH,householdsize_NA,marriage_NA,college_grad,college_grad_NA,no_drive_expr,dailyvmt_HIGH,dailyvmt_NA,annualvmt_HIGH,annualvmt_NA,vehicle_ownership,vehicle_ownership_NA,first_time_buyer,home_charge,work_charge,env_appearance,status_symbol,state,pop,lat,long,urban,suburban,rural,region
1,7/27/11 2:30,7/27/11 2:46,956,782451,795,0,2,1,3,NA,NA,0,21.584051724137932,18275.462962962964,1,8,NA,NA,2,3,3,4,5,2,4,4,3,4,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,9,2,1,5,23.01456119637938,1,3.2489331436699858,54,NA,8,0.591776798825257,0.6129985228951256,0,0,0,0,0,0,0,7,3,1,1,0,1,18,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2,7/27/11 5:00,7/27/11 5:10,610,1191874,641,1,3,1,1,31,QQ,0.4429347826086957,40,50000,3,NA,NA,6,2,4,2,5,5,4,5,4,3,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,10,5,NA,5.555555555555555,0,3,NA,NA,8,0,0,0,0,0,0,0,0,0,4,2,5,2,0,0,32.44668587896253,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
3,7/27/11 5:54,7/27/11 6:06,700,621527,28,1,2,1,3,15,C200,1,22.5,14000,2,NA,1,NA,2,3,3,5,5,4,4,5,5,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,14,20,2,23.01456119637938,0,3,54,10029,6,0.591776798825257,0.6129985228951256,0,0,0,0,0,0,0,1,1,1,1,0,1,18,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
4,7/27/11 6:30,7/27/11 6:42,674,1433749,998,1,3,1,1,31,QQ,1,22.5,22500,2,NA,7,NA,2,4,4,5,5,2,5,4,4,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,13,11,1,7.142857142857143,0,5,NA,NA,8,0.591776798825257,0.6129985228951256,0,0,0,0,0,0,0,4,2,3,5,0,0,32.44668587896253,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
5,7/29/11 2:52,7/29/11 3:04,743,1650830,639,0,2,1,3,NA,NA,0,21.584051724137932,18275.462962962964,1,6,NA,NA,2,1,2,5,5,3,3,2,3,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,19,13,5,23.01456119637938,0,3.2489331436699858,38,NA,6,2,1,0,0,0,0,0,0,0,7,1,3,3,0,1,34,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
6,7/29/11 3:23,7/29/11 3:34,642,1480780,867,1,2,1,1,3,325i,2,37.5,12000,3,NA,NA,6,2,5,4,5,5,4,3,3,2,3,2,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,21,14,3,15.873015873015873,0,4,NA,NA,10,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,32.44668587896253,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7/29/11 5:51,7/29/11 6:02,650,1053346,641,0,3,1,5,NA,NA,0,21.584051724137932,18275.462962962964,2,NA,3,NA,2,4,5,5,5,1,4,3,5,5,5,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,22,20,19,3,3.174603174603175,0,5,26,NA,6.150442477876106,2,1,0,0,0,0,0,0,0,7,4,1,3,0,0,46,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
8,7/29/11 6:23,7/29/11 6:34,627,781949,433,0,2,1,3,1,NA,0,21.584051724137932,18275.462962962964,2,NA,7,NA,2,4,4,5,5,4,4,3,3,4,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,NA,10,12,33,2,34.920634920634924,0,2,47,NA,8,0,1,0,0,0,0,0,0,0,7,5,1,4,1,0,25,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9,7/29/11 6:43,7/29/11 6:55,711,1187565,310,0,2,1,3,1,NA,0,21.584051724137932,18275.462962962964,2,NA,1,NA,2,3,3,4,5,4,4,3,4,4,4,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,10,14,1,23.01456119637938,0,3,43,NA,8,1,1,0,0,0,0,0,0,0,7,2,5,1,0,1,29,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
10,7/29/11 7:18,7/29/11 7:32,854,1343465,481,1,2,1,1,1,NA,0,21.584051724137932,18275.462962962964,2,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,23.01456119637938,0.29045643153526973,3.2489331436699858,NA,NA,6.150442477876106,0.591776798825257,0.6129985228951256,0,0,0,0,0,0,0,7,7,7,7,0,1,32.44668587896253,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
